"ParcelID","Location","RM","BD","BA","34BA","HB","FP","Owned","NBC","Imp","Floor","Loc","Grade","Built","Price","Date","Area","Value","_Change","f0","Type","Nhood",
"13-2","10R EDDEL AVENUE","8","3","3","0","1","1","0.00%","2000","5","","False","6","1955","1250000","04/12/2022","3231","1123500","29.45","False","CAPE","2000",
"13-20","27 ARBOR ST","7","3","3","0","0","1","0.00%","3000","15","","False","4","1900","900000","06/29/2022","2025","860900","14.24","False","OLD STYLE","3000",
"13-21","6 EDDEL AVENUE","6","3","1","0","1","2","0.00%","2000","5","","False","4","1948","817000","11/09/2022","1989","730200","6.57","False","CAPE","2000",
"13-22","7 EDDEL AVENUE","6","3","1","0","0","1","0.00%","2000","19","","False","3","1968","222000","08/01/1996","1473","636500","-9.67","False","RANCH","2000",
"13-23","5 EDDEL AVENUE","5","3","1","0","0","1","0.00%","2000","19","","False","3","1953","475000","07/26/2023","1059","591600","-7.32","False","RANCH","2000",
"13-24","4 EDDEL AVENUE","3","4","2","0","0","1","0.00%","2000","5","","False","4","1948","777000","06/30/2021","2447","837600","10.04","False","CAPE","2000",
"13-25","19 ARBOR ST","7","3","2","0","1","0","0.00%","3000","15","","False","3","1840","0","06/13/2018","2193","812600","10.74","False","OLD STYLE","3000",
"13-26","17 ARBOR ST","6","2","1","0","1","1","0.00%","3000","22","","False","3","1994","910000","08/31/2021","2421","884100","10.21","False","CONVENTONL","3000",
"13-27","16 ARBOR ST","8","4","1","0","1","0","0.00%","3000","22","","False","3","1880","219000","06/01/1986","1792","740800","8.83","False","CONVENTONL","3000",
"13-28","8 ELLIS AVENUE","7","2","1","0","1","1","0.00%","3000","19","","False","4","1955","385000","07/27/2015","1447","724700","-1.67","False","RANCH","3000",
"13-29","7 ELLIS AVENUE","4","2","1","0","0","2","0.00%","3000","5","","False","3","1938","219000","09/01/1986","1512","720300","17.35","False","CAPE","3000",
